"date","site","block","treatment","quad","species","tissue","biomass_category","growth_form","mass_g"
2012-08-01,"MAT06","1","CT","1","Eriophorum vaginatum","blade","new above","Graminoids",0.964
2012-08-01,"MAT06","1","CT","2","Eriophorum vaginatum","blade","new above","Graminoids",7.952
2012-08-01,"MAT06","1","CT","3","Eriophorum vaginatum","blade","new above","Graminoids",0.023
2012-08-01,"MAT06","1","CT","4","Eriophorum vaginatum","blade","new above","Graminoids",1.242
2012-08-01,"MAT06","1","CT","5","Eriophorum vaginatum","blade","new above","Graminoids",7.868
2012-08-01,"MAT06","2","CT","1","Eriophorum vaginatum","blade","new above","Graminoids",0.063
2012-08-01,"MAT06","2","CT","2","Eriophorum vaginatum","blade","new above","Graminoids",0.099
2012-08-01,"MAT06","2","CT","3","Eriophorum vaginatum","blade","new above","Graminoids",0.096
2012-08-01,"MAT06","2","CT","4","Eriophorum vaginatum","blade","new above","Graminoids",0.715
2012-08-01,"MAT06","2","CT","5","Eriophorum vaginatum","blade","new above","Graminoids",2.26
2012-08-01,"MAT06","3","CT","1","Eriophorum vaginatum","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Eriophorum vaginatum","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Eriophorum vaginatum","blade","new above","Graminoids",0.48
2012-08-01,"MAT06","3","CT","4","Eriophorum vaginatum","blade","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Eriophorum vaginatum","blade","new above","Graminoids",0.879
2012-08-01,"MAT06","1","CT","1","Eriophorum vaginatum","sheath","new above","Graminoids",0.804
2012-08-01,"MAT06","1","CT","2","Eriophorum vaginatum","sheath","new above","Graminoids",7.412
2012-08-01,"MAT06","1","CT","3","Eriophorum vaginatum","sheath","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Eriophorum vaginatum","sheath","new above","Graminoids",0.876
2012-08-01,"MAT06","1","CT","5","Eriophorum vaginatum","sheath","new above","Graminoids",5.392
2012-08-01,"MAT06","2","CT","1","Eriophorum vaginatum","sheath","new above","Graminoids",0.014
2012-08-01,"MAT06","2","CT","2","Eriophorum vaginatum","sheath","new above","Graminoids",0.079
2012-08-01,"MAT06","2","CT","3","Eriophorum vaginatum","sheath","new above","Graminoids",0.013
2012-08-01,"MAT06","2","CT","4","Eriophorum vaginatum","sheath","new above","Graminoids",0.439
2012-08-01,"MAT06","2","CT","5","Eriophorum vaginatum","sheath","new above","Graminoids",1.429
2012-08-01,"MAT06","3","CT","1","Eriophorum vaginatum","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","2","Eriophorum vaginatum","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","3","Eriophorum vaginatum","sheath","new above","Graminoids",0.5
2012-08-01,"MAT06","3","CT","4","Eriophorum vaginatum","sheath","new above","Graminoids",0
2012-08-01,"MAT06","3","CT","5","Eriophorum vaginatum","sheath","new above","Graminoids",0.612
2012-08-01,"MAT06","1","CT","1","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","2","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","3","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","4","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","1","CT","5","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
2012-08-01,"MAT06","2","CT","1","Eriophorum vaginatum","inflor/culm","new above","Graminoids",0
