"date_collected","site","block","treatment","quad","horizon","root_size","species","mass_g"
"2012-07-25 to 2012-07-30","MAT06","1","CT","1","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","2","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","3","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","4","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","5","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","1","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","2","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","3","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","4","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","5","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","1","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","2","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","3","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","4","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","5","O","coarse","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","1","O","fine","Eriophorum vaginatum",0.006
"2012-07-25 to 2012-07-30","MAT06","1","CT","2","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","3","O","fine","Eriophorum vaginatum",0.237
"2012-07-25 to 2012-07-30","MAT06","1","CT","4","O","fine","Eriophorum vaginatum",0.003
"2012-07-25 to 2012-07-30","MAT06","1","CT","5","O","fine","Eriophorum vaginatum",0.021
"2012-07-25 to 2012-07-30","MAT06","2","CT","1","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","2","O","fine","Eriophorum vaginatum",0.183
"2012-07-25 to 2012-07-30","MAT06","2","CT","3","O","fine","Eriophorum vaginatum",0.001
"2012-07-25 to 2012-07-30","MAT06","2","CT","4","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","5","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","1","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","2","O","fine","Eriophorum vaginatum",0.002
"2012-07-25 to 2012-07-30","MAT06","3","CT","3","O","fine","Eriophorum vaginatum",0.016
"2012-07-25 to 2012-07-30","MAT06","3","CT","4","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","3","CT","5","O","fine","Eriophorum vaginatum",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","1","O","coarse","Carex bigelowii",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","2","O","coarse","Carex bigelowii",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","3","O","coarse","Carex bigelowii",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","4","O","coarse","Carex bigelowii",0
"2012-07-25 to 2012-07-30","MAT06","1","CT","5","O","coarse","Carex bigelowii",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","1","O","coarse","Carex bigelowii",0
"2012-07-25 to 2012-07-30","MAT06","2","CT","2","O","coarse","Carex bigelowii",0
