"block","treatment","horizon","site","root_type","plot_root_id"
1,"CT","O","MAT06","fine",1
1,"CT","O","MAT06","coarse",NA
1,"CT","O","MAT06","erivag",3
1,"CT","M","MAT06","fine",4
1,"CT","M","MAT06","coarse",NA
1,"CT","M","MAT06","erivag",6
1,"F0.5","O","MAT06","fine",49
1,"F0.5","O","MAT06","coarse",NA
1,"F0.5","O","MAT06","erivag",NA
1,"F0.5","M","MAT06","fine",52
1,"F0.5","M","MAT06","coarse",NA
1,"F0.5","M","MAT06","erivag",54
1,"F1","O","MAT06","fine",73
1,"F1","O","MAT06","coarse",NA
1,"F1","O","MAT06","erivag",96
1,"F1","M","MAT06","fine",76
1,"F1","M","MAT06","coarse",NA
1,"F1","M","MAT06","erivag",78
1,"F2","O","MAT06","fine",97
1,"F2","O","MAT06","coarse",104
1,"F2","O","MAT06","erivag",111
1,"F2","M","MAT06","fine",100
1,"F2","M","MAT06","coarse",NA
1,"F2","M","MAT06","erivag",102
1,"F5","O","MAT06","fine",121
1,"F5","O","MAT06","coarse",134
1,"F5","O","MAT06","erivag",141
1,"F5","M","MAT06","fine",130
1,"F5","M","MAT06","coarse",NA
1,"F5","M","MAT06","erivag",132
1,"F10","O","MAT06","fine",25
1,"F10","O","MAT06","coarse",NA
1,"F10","O","MAT06","erivag",33
1,"F10","M","MAT06","fine",46
1,"F10","M","MAT06","coarse",NA
1,"F10","M","MAT06","erivag",NA
2,"CT","O","MAT06","fine",151
2,"CT","O","MAT06","coarse",158
2,"CT","O","MAT06","erivag",159
2,"CT","M","MAT06","fine",154
2,"CT","M","MAT06","coarse",NA
2,"CT","M","MAT06","erivag",162
2,"F0.5","O","MAT06","fine",175
2,"F0.5","O","MAT06","coarse",188
2,"F0.5","O","MAT06","erivag",177
2,"F0.5","M","MAT06","fine",178
2,"F0.5","M","MAT06","coarse",NA
2,"F0.5","M","MAT06","erivag",180
2,"F1","O","MAT06","fine",199
2,"F1","O","MAT06","coarse",NA
2,"F1","O","MAT06","erivag",201
2,"F1","M","MAT06","fine",208
2,"F1","M","MAT06","coarse",NA
2,"F1","M","MAT06","erivag",210
2,"F2","O","MAT06","fine",223
2,"F2","O","MAT06","coarse",NA
2,"F2","O","MAT06","erivag",225
2,"F2","M","MAT06","fine",226
2,"F2","M","MAT06","coarse",NA
2,"F2","M","MAT06","erivag",228
2,"F5","O","MAT06","fine",247
2,"F5","O","MAT06","coarse",NA
2,"F5","O","MAT06","erivag",NA
2,"F5","M","MAT06","fine",256
2,"F5","M","MAT06","coarse",NA
2,"F5","M","MAT06","erivag",258
2,"F10","O","MAT06","fine",271
2,"F10","O","MAT06","coarse",NA
2,"F10","O","MAT06","erivag",NA
2,"F10","M","MAT06","fine",274
2,"F10","M","MAT06","coarse",NA
2,"F10","M","MAT06","erivag",288
3,"CT","O","MAT06","fine",301
3,"CT","O","MAT06","coarse",320
3,"CT","O","MAT06","erivag",303
3,"CT","M","MAT06","fine",304
3,"CT","M","MAT06","coarse",NA
3,"CT","M","MAT06","erivag",306
3,"F0.5","O","MAT06","fine",325
3,"F0.5","O","MAT06","coarse",332
3,"F0.5","O","MAT06","erivag",327
3,"F0.5","M","MAT06","fine",328
3,"F0.5","M","MAT06","coarse",NA
3,"F0.5","M","MAT06","erivag",330
3,"F1","O","MAT06","fine",349
3,"F1","O","MAT06","coarse",NA
3,"F1","O","MAT06","erivag",357
3,"F1","M","MAT06","fine",352
3,"F1","M","MAT06","coarse",NA
3,"F1","M","MAT06","erivag",366
3,"F2","O","MAT06","fine",373
3,"F2","O","MAT06","coarse",NA
3,"F2","O","MAT06","erivag",NA
3,"F2","M","MAT06","fine",376
3,"F2","M","MAT06","coarse",389
3,"F2","M","MAT06","erivag",378
3,"F5","O","MAT06","fine",397
3,"F5","O","MAT06","coarse",NA
3,"F5","O","MAT06","erivag",405
3,"F5","M","MAT06","fine",400
3,"F5","M","MAT06","coarse",NA
3,"F5","M","MAT06","erivag",408
3,"F10","O","MAT06","fine",421
3,"F10","O","MAT06","coarse",422
3,"F10","O","MAT06","erivag",423
3,"F10","M","MAT06","fine",424
3,"F10","M","MAT06","coarse",NA
3,"F10","M","MAT06","erivag",NA
