"site","block","treatment","species","tissue","growth_form","plot_tissue_id","nitrogen_percent","carbon_percent","notes"
"MAT06",1,"F1","Betula nana","NewStems","Deciduous","236",1.78133177757263,54.9655838012695,NA
"MAT06",1,"F1","Vaccinium vitis-idaea","NewLeaves","Evergreen","310",1.40160632133484,52.9956665039062,NA
"MAT06",1,"F1","Other Mosses","Green","Moss","232",1.37621569633484,48.5056762695312,NA
"MAT06",1,"F1","Vaccinium vitis-idaea","BelowStem","Evergreen","315",1.08083820343018,53.628849029541,NA
"MAT06",1,"F1","Ledum palustre","BelowStem","Evergreen","305",0.749906122684479,59.0938568115234,NA
"MAT06",1,"F1","Betula nana","NewLeaves","Deciduous","235",2.0358772277832,52.8916091918945,NA
"MAT06",1,"F1","Vaccinium vitis-idaea","Inflor","Evergreen","314",0.962691247463226,53.1415634155273,NA
"MAT06",1,"F1","Vaccinium vitis-idaea","OldStems","Evergreen","313",0.982878565788269,54.0674629211426,NA
"MAT06",1,"F1","Rubus chamaemorus","BelowStem","Forb","321",0.849592328071594,51.2238540649414,NA
"MAT06",1,"F1","Ledum palustre","Inflor","Evergreen","304",1.7019567489624,53.8217468261719,NA
"MAT06",1,"F1","Ledum palustre","Inflor","Evergreen","304",1.66307938098907,53.691349029541,NA
"MAT06",1,"F1","Vaccinium vitis-idaea","OldLeaves","Evergreen","312",1.03812718391418,54.4153518676758,NA
"MAT06",1,"F1","Rubus chamaemorus","LeavesStems","Forb","395",2.18873381614685,50.8035316467285,NA
"MAT06",1,"F1","Vaccinium uliginosum","BelowStem","Deciduous","320",0.594020843505859,54.0390777587891,NA
"MAT06",1,"F1","Cassiope tetragona","BelowStem","Evergreen","394",0.941909670829773,57.5672225952148,NA
"MAT06",1,"F1","Mixed Lichen","Live","Lichen","231",0.914544999599457,47.5662040710449,NA
"MAT06",1,"F1","Cassiope tetragona","OldStems","Evergreen","393",1.13092494010925,59.1272773742676,NA
"MAT06",1,"F1","Vaccinium vitis-idaea","NewStems","Evergreen","311",1.32852041721344,54.8926200866699,NA
"MAT06",1,"F1","Ledum palustre","NewStems","Evergreen","301",1.45908176898956,55.8852043151855,NA
"MAT06",1,"F1","Ledum palustre","OldLeaves","Evergreen","302",1.71575367450714,57.582706451416,NA
"MAT06",1,"F1","Vaccinium uliginosum","NewLeaves","Deciduous","317",1.55414986610413,53.9367141723633,NA
"MAT06",1,"F1","Vaccinium uliginosum","NewLeaves","Deciduous","317",1.36726868152618,52.9264106750488,NA
"MAT06",1,"F1","Betula nana","BelowStem","Deciduous","239",0.831188797950745,55.8429069519043,NA
"MAT06",1,"F1","Ledum palustre","NewLeaves","Evergreen","240",1.89313876628876,54.5762481689453,NA
"MAT06",1,"F1","Eriophorum vaginatum","Rhizome","Graminoid","234",NA,NA,NA
"MAT06",1,"F1","Cassiope tetragona","NewStems","Evergreen","392",NA,NA,NA
"MAT06",1,"F1","Eriophorum vaginatum","BladeSheathInflCulm","Graminoid","233",NA,NA,NA
"MAT06",1,"F1","Betula nana","OldStems","Deciduous","237",0.624212205410004,55.7473602294922,NA
"MAT06",1,"F1","Carex bigelowii","BladeSheathInflCulm","Graminoid","308",1.9615330696106,50.7164344787598,NA
"MAT06",1,"F1","Other Forb","LeavesStems","Forb","306",2.36505961418152,49.7127075195312,NA
"MAT06",1,"F1","Betula nana","Inflor","Deciduous","238",1.12386763095856,55.9574584960938,NA
"MAT06",1,"F1","Carex bigelowii","Rhizome","Graminoid","316",1.00892233848572,52.6301498413086,NA
"MAT06",1,"F1","Carex bigelowii","Rhizome","Graminoid","316",0.980866253376007,52.0934906005859,NA
"MAT06",1,"F5","Rubus chamaemorus","LeavesStems","Forb","109",2.51995706558228,46.1323738098145,NA
"MAT06",1,"F5","Vaccinium vitis-idaea","BelowStem","Evergreen","116",1.18512201309204,51.1078567504883,NA
"MAT06",1,"F5","Ledum palustre","OldStems","Evergreen","95",0.878164947032928,54.8503341674805,NA
"MAT06",1,"F5","Other Mosses","Green","Moss","102",1.72003710269928,45.9254837036133,NA
"MAT06",1,"F5","Ledum palustre","BelowStem","Evergreen","101",0.885150551795959,54.4275093078613,NA
"MAT06",1,"F5","Ledum palustre","NewLeaves","Evergreen","118",3.15176892280579,51.4311408996582,NA
"MAT06",1,"F5","Ledum palustre","Inflor","Evergreen","98",1.79750227928162,50.2194023132324,NA
"MAT06",1,"F5","Betula nana","NewLeaves","Deciduous","108",2.95845437049866,49.8424873352051,NA
"MAT06",1,"F5","Vaccinium vitis-idaea","OldLeaves","Evergreen","110",1.67893707752228,49.7313194274902,NA
"MAT06",1,"F5","Vaccinium vitis-idaea","NewLeaves","Evergreen","104",1.99056673049927,49.4499397277832,NA
"MAT06",1,"F5","Vaccinium vitis-idaea","NewLeaves","Evergreen","104",1.97907257080078,49.2275085449219,NA
"MAT06",1,"F5","Betula nana","BelowStem","Deciduous","114",1.16646659374237,51.8055953979492,NA
"MAT06",1,"F5","Other Graminoid","BladeSheathInflCulm","Graminoid","119",1.56823182106018,46.061767578125,NA
"MAT06",1,"F5","Vaccinium vitis-idaea","OldStems","Evergreen","113",1.06704592704773,50.0327186584473,"duplicate ID, possible misidentification"
