"date_collected","site","block","treatment","quad","surface_area_cm2","species","tissue","growth_form","plot_tissue_id","mass_g","notes"
2024-07-24,"MAT06",1,"CT",1,400,"Eriophorum vaginatum","BladeSheathInflCulm","Graminoid","264",0.545,NA
2024-07-24,"MAT06",1,"CT",1,400,"Eriophorum vaginatum","Rhizome","Graminoid","268",0.043,NA
2024-07-24,"MAT06",1,"CT",1,400,"Carex bigelowii","BladeSheathInflCulm","Graminoid","285",0.006,NA
2024-07-24,"MAT06",1,"CT",1,400,"Carex bigelowii","Rhizome","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Graminoid","BladeSheathInflCulm","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Graminoid","Rhizome","Graminoid",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Betula nana","NewLeaves","Deciduous","17",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Betula nana","NewStems","Deciduous","18",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Betula nana","OldStems","Deciduous","19",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Betula nana","Inflor","Deciduous","20",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Betula nana","BelowStem","Deciduous","230",0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Salix pulchra","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Salix pulchra","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Salix pulchra","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Salix pulchra","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Salix pulchra","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium uliginosum","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium uliginosum","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium uliginosum","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium uliginosum","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Vaccinium uliginosum","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Deciduous","NewLeaves","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Deciduous","NewStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Deciduous","OldStems","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Deciduous","Inflor","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Other Deciduous","BelowStem","Deciduous",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,400,"Ledum palustre","NewLeaves","Evergreen","281",0.495,NA
2024-07-24,"MAT06",1,"CT",1,400,"Ledum palustre","NewStems","Evergreen","282",0.259,NA
2024-07-24,"MAT06",1,"CT",1,400,"Ledum palustre","OldLeaves","Evergreen","283",0.058,NA
2024-07-24,"MAT06",1,"CT",1,400,"Ledum palustre","OldStems","Evergreen","284",0.861,NA
2024-07-24,"MAT06",1,"CT",1,400,"Ledum palustre","Inflor","Evergreen","212",0,NA
