"date_collected","site","block","treatment","quad","horizon","core_surface_area_cm2","depth_cm","root_type","plot_root_id","mass_g","root_notes"
2024-07-24,"MAT06",1,"CT",1,"O",25,4.5,"fine",1,0.049,NA
2024-07-24,"MAT06",1,"CT",1,"O",25,4.5,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,"O",25,4.5,"erivag",3,0.65,NA
2024-07-24,"MAT06",1,"CT",1,"M",15.9043128087983,18,"fine",4,0.22,NA
2024-07-24,"MAT06",1,"CT",1,"M",15.9043128087983,18,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",1,"M",15.9043128087983,18,"erivag",6,0.183,NA
2024-07-24,"MAT06",1,"CT",2,"O",25,13,"fine",1,1.554,NA
2024-07-24,"MAT06",1,"CT",2,"O",25,13,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,"O",25,13,"erivag",3,0,NA
2024-07-24,"MAT06",1,"CT",2,"M",15.9043128087983,10.5,"fine",4,0.306,NA
2024-07-24,"MAT06",1,"CT",2,"M",15.9043128087983,10.5,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",2,"M",15.9043128087983,10.5,"erivag",6,0,NA
2024-07-24,"MAT06",1,"CT",3,"O",25,23,"fine",1,3.771,NA
2024-07-24,"MAT06",1,"CT",3,"O",25,23,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",3,"O",25,23,"erivag",3,0,NA
2024-07-24,"MAT06",1,"CT",3,"M",15.9043128087983,NA,"fine",4,NA,"NA depth means permafrost was in organic layer"
2024-07-24,"MAT06",1,"CT",3,"M",15.9043128087983,NA,"coarse",NA,NA,"NA depth means permafrost was in organic layer"
2024-07-24,"MAT06",1,"CT",3,"M",15.9043128087983,NA,"erivag",6,NA,"NA depth means permafrost was in organic layer"
2024-07-24,"MAT06",1,"CT",4,"O",25,13,"fine",1,1.916,NA
2024-07-24,"MAT06",1,"CT",4,"O",25,13,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,"O",25,13,"erivag",3,0,NA
2024-07-24,"MAT06",1,"CT",4,"M",15.9043128087983,10,"fine",4,0.037,NA
2024-07-24,"MAT06",1,"CT",4,"M",15.9043128087983,10,"coarse",NA,0,NA
2024-07-24,"MAT06",1,"CT",4,"M",15.9043128087983,10,"erivag",6,0.002,NA
2024-07-25,"MAT06",1,"F0.5",1,"O",25,12.5,"fine",49,1.178,NA
2024-07-25,"MAT06",1,"F0.5",1,"O",25,12.5,"coarse",NA,0,NA
2024-07-25,"MAT06",1,"F0.5",1,"O",25,12.5,"erivag",NA,0,NA
