"date_collected","site","block","treatment","quad","core_surface_area_cm2","organic_core_depth_cm","mineral_core_depth_cm","depth_from_mineral_to_permafrost_cm","depth_of_core_to_permafrost_cm","ice_depth_accidentally_cored_cm","dry_mass_aboveground_g","dry_mass_organic_horizon_g","dry_mass_mineral_horizon_g","soil_notes"
2024-07-30,"MAT06",1,"CT",1,22.0618344098343,1,48,0,49,NA,0.285,NA,1093.791,NA
2024-07-30,"MAT06",1,"CT",2,22.0618344098343,12,24,0,36,NA,0.301,14.411,623.666,NA
2024-07-30,"MAT06",1,"CT",3,22.0618344098343,10,17,0,27,NA,0.508,9.134,187.569,NA
2024-07-30,"MAT06",1,"CT",4,22.0618344098343,21,17,0,38,NA,0.53,11.1,NA,NA
2024-07-30,"MAT06",1,"F0.5",1,16.61902513749,7,37,4,48,NA,0.967,14.801,360.877,NA
2024-07-30,"MAT06",1,"F0.5",2,16.61902513749,5,23,0,28,NA,0.934,8.134,235.796,NA
2024-07-30,"MAT06",1,"F0.5",3,16.61902513749,7,37,0,44,NA,0.222,12.25,14.454,NA
2024-08-01,"MAT06",1,"F0.5",4,16.61902513749,9,20,29,58,NA,0.431,7.892,497.099,NA
2024-07-30,"MAT06",1,"F1",1,16.61902513749,16.5,NA,2,18.5,NA,0.07,11.205,NA,"No mineral sample. Approximately 2 cm from permafrost"
2024-07-30,"MAT06",1,"F1",2,16.61902513749,7,33,0,40,NA,0.706,8.358,378.82,NA
2024-07-30,"MAT06",1,"F1",NA,16.61902513749,4.5,20,0,24.5,NA,0.692,15.591,267.552,NA
2024-07-30,"MAT06",1,"F1",4,22.0618344098343,5,42,0,47,NA,0.455,14.461,667.774,NA
2024-07-30,"MAT06",1,"F2",1,22.0618344098343,14,27,0,41,NA,0.839,16.173,246.149,NA
2024-07-30,"MAT06",1,"F2",2,22.0618344098343,18,14,0,32,NA,0.251,11.035,66.468,NA
2024-07-30,"MAT06",1,"F2",NA,16.61902513749,9,26,0,35,NA,0.479,9.576,289.227,NA
2024-07-30,"MAT06",1,"F2",4,16.61902513749,18,14,0,32,NA,0.325,16.813,158.612,NA
2024-07-30,"MAT06",1,"F5",1,16.61902513749,4,36,0,40,NA,0.246,17.023,104.516,NA
2024-07-30,"MAT06",1,"F5",2,16.61902513749,10,27,0,37,NA,0.47,13.738,323.711,NA
2024-07-30,"MAT06",1,"F5",3,16.61902513749,9,24,0,33,NA,0.01,45.895,302.136,NA
2024-07-30,"MAT06",1,"F5",4,16.61902513749,7,36,0,43,NA,0.478,24.718,NA,NA
2024-07-30,"MAT06",1,"F10",NA,16.61902513749,9,23,0,32,NA,1.58,NA,83.205,NA
2024-07-30,"MAT06",1,"F10",2,16.61902513749,12,18,0,30,NA,0.015,37.003,54.925,NA
2024-07-30,"MAT06",1,"F10",3,16.61902513749,19,26,0,45,NA,0.083,27.81,0.242,NA
2024-07-30,"MAT06",1,"F10",4,16.61902513749,8,26,0,34,NA,0.023,18.387,312.271,NA
2024-07-30,"MAT06",2,"CT",1,16.61902513749,0,43.5,12.5,56,NA,0.237,NA,770.344,NA
2024-07-30,"MAT06",2,"CT",2,16.61902513749,0.5,52,0,52.5,NA,0.383,4.934,632.473,NA
2024-07-30,"MAT06",2,"CT",3,16.61902513749,14,24,0,38,NA,NA,7.242,29.558,NA
2024-07-30,"MAT06",2,"CT",NA,16.61902513749,15,32,0,47,NA,0.508,12.222,131.42,NA
2024-07-30,"MAT06",2,"F0.5",1,16.61902513749,10,26,0,36,NA,0.428,14.303,129.205,NA
2024-08-01,"MAT06",2,"F0.5",NA,16.61902513749,19,25,0,44,NA,0.217,32.789,201.493,"This was a redo of 2A, which had a lot of sludge"
2024-07-30,"MAT06",2,"F0.5",3,16.61902513749,12.5,29,0,41.5,NA,0.377,13.667,247.613,NA
2024-07-30,"MAT06",2,"F0.5",4,16.61902513749,4,31.5,10.5,46,NA,0.411,17.255,327.372,NA
2024-07-30,"MAT06",2,"F1",1,16.61902513749,14.5,NA,0,14.5,NA,0.562,14.131,64.962,NA
2024-07-30,"MAT06",2,"F1",2,16.61902513749,24,NA,0,24,NA,NA,35.271,167.004,NA
2024-08-01,"MAT06",2,"F1",NA,16.61902513749,3.5,9.5,24.5,37.5,NA,0.001,19.167,414.34,"This was a redo of 3A, which had a lot of sludge"
2024-07-30,"MAT06",2,"F1",4,16.61902513749,10,26,0,36,NA,1.354,13.692,NA,NA
2024-07-30,"MAT06",2,"F2",1,16.61902513749,10,17,1,28,NA,1.096,29.833,140.209,NA
2024-07-30,"MAT06",2,"F2",2,16.61902513749,10,18.5,0,28.5,NA,0.042,15.321,163.883,NA
2024-07-30,"MAT06",2,"F2",3,16.61902513749,10.5,29,0,39.5,NA,NA,7.743,NA,NA
2024-07-30,"MAT06",2,"F2",4,16.61902513749,8,16.5,0,24.5,NA,0.084,5.121,147.644,NA
2024-07-30,"MAT06",2,"F5",1,16.61902513749,8.5,27.5,0,36,NA,0.273,11.588,151.512,NA
2024-07-30,"MAT06",2,"F5",2,16.61902513749,17,4,0,21,NA,NA,10.359,11.046,NA
2024-08-01,"MAT06",2,"F5",NA,16.61902513749,10,29,0,39,NA,0.102,4.966,478.76,"This was a redo of 3A, which had a lot of sludge"
2024-07-30,"MAT06",2,"F5",4,16.61902513749,16,4.5,0,20.5,NA,0.011,11.186,NA,NA
2024-07-30,"MAT06",2,"F10",1,16.61902513749,7,23.5,0,30.5,NA,0.005,15.725,237.482,NA
2024-07-30,"MAT06",2,"F10",2,16.61902513749,12,23,0,35,NA,0.026,NA,105.201,NA
2024-07-30,"MAT06",2,"F10",NA,16.61902513749,7,25,0,32,NA,0.024,NA,196.851,NA
2024-07-30,"MAT06",2,"F10",4,16.61902513749,10,11,0,21,NA,NA,8.637,20.687,NA
2024-07-31,"MAT06",3,"CT",1,16.61902513749,14.5,19.5,0,34,NA,1.765,1.137,182.026,NA
2024-07-31,"MAT06",3,"CT",2,16.61902513749,9,36,0,45,NA,1.101,9.368,222.034,NA
2024-07-31,"MAT06",3,"CT",3,16.61902513749,15,31,0,46,NA,0.713,17.011,128.166,NA
2024-07-31,"MAT06",3,"CT",4,16.61902513749,7,44,0,51,NA,NA,NA,NA,NA
2024-07-31,"MAT06",3,"F0.5",1,16.61902513749,12.5,NA,0,12.5,2.5,0.893,8.245,NA,"Subtracted 2.5 cm from total depth of 15 cm; all mineral is permafrost"
2024-07-31,"MAT06",3,"F0.5",2,16.61902513749,9,32,0,41,NA,0.302,13.583,325.313,NA
2024-07-31,"MAT06",3,"F0.5",3,16.61902513749,12,30,10,52,NA,1.3,NA,437.793,NA
