"Block","Treatment","Surface_area_cm2","Species","Tissue","ID"
1,"CT",400,"Erivag","BladeSheathInflCulm","264"
1,"CT",400,"Erivag","Rhizome","268"
1,"CT",400,"Carbig","BladeSheathInflCulm","285"
1,"CT",400,"Carbig","Rhizome","258"
1,"CT",400,"OtherGraminoid","BladeSheathInflCulm","204"
1,"CT",400,"OtherGraminoid","Rhizome","205"
1,"CT",400,"Betnan","NewLeaves","17"
1,"CT",400,"Betnan","NewStems","18"
1,"CT",400,"Betnan","OldStems","19"
1,"CT",400,"Betnan","Inflor","20"
1,"CT",400,"Betnan","BelowStem","230"
1,"CT",400,"Salpul","NewLeaves",NA
1,"CT",400,"Salpul","NewStems",NA
1,"CT",400,"Salpul","OldStems",NA
1,"CT",400,"Salpul","Inflor",NA
1,"CT",400,"Salpul","BelowStem",NA
1,"CT",400,"Vaculi","NewLeaves",NA
1,"CT",400,"Vaculi","NewStems",NA
1,"CT",400,"Vaculi","OldStems",NA
1,"CT",400,"Vaculi","Inflor",NA
1,"CT",400,"Vaculi","BelowStem",NA
1,"CT",400,"OtherDeciduous","NewLeaves",NA
1,"CT",400,"OtherDeciduous","NewStems",NA
1,"CT",400,"OtherDeciduous","OldStems",NA
1,"CT",400,"OtherDeciduous","Inflor",NA
1,"CT",400,"OtherDeciduous","BelowStem",NA
1,"CT",400,"Ledpal","NewLeaves","281"
1,"CT",400,"Ledpal","NewStems","282"
1,"CT",400,"Ledpal","OldLeaves","283"
1,"CT",400,"Ledpal","OldStems","284"
1,"CT",400,"Ledpal","Inflor","212"
1,"CT",400,"Ledpal","BelowStem","213"
1,"CT",400,"Vacvit","NewLeaves","277"
1,"CT",400,"Vacvit","NewStems","278"
1,"CT",400,"Vacvit","OldLeaves","222"
1,"CT",400,"Vacvit","OldStems","279"
1,"CT",400,"Vacvit","Inflor","276"
1,"CT",400,"Vacvit","BelowStem","280"
1,"CT",400,"Castet","NewStems",NA
1,"CT",400,"Castet","OldStems",NA
1,"CT",400,"Castet","Inflor",NA
1,"CT",400,"Castet","BelowStem",NA
1,"CT",400,"OtherEvergreen","NewLeaves","261"
1,"CT",400,"OtherEvergreen","NewStems","265"
1,"CT",400,"OtherEvergreen","OldLeaves","266"
1,"CT",400,"OtherEvergreen","OldStems","267"
1,"CT",400,"OtherEvergreen","Inflor","25"
1,"CT",400,"OtherEvergreen","BelowStem","26"
1,"CT",400,"Rubcha","LeavesStems","274"
1,"CT",400,"Rubcha","InflorStalks",NA
1,"CT",400,"Rubcha","BelowStem","275"
1,"CT",400,"Petfri","LeavesStems",NA
1,"CT",400,"Petfri","InflorStalks",NA
1,"CT",400,"Petfri","BelowStem",NA
1,"CT",400,"OtherForb","LeavesStems","229"
1,"CT",400,"OtherForb","InflorStalks",NA
1,"CT",400,"OtherForb","BelowStem","59"
1,"CT",400,"Sphagnum","Green","273"
1,"CT",400,"OtherMoss","Green","269"
1,"CT",400,"Lichen","Live","270"
1,"CT",400,"Attached","Wood","226"
1,"CT",400,"Attached","Litter","272"
1,"CT",400,"Loose","Litter","271"
1,"F0.5",400,"Erivag","BladeSheathInflCulm","1648"
1,"F0.5",400,"Erivag","Rhizome","1649"
1,"F0.5",400,"Carbig","BladeSheathInflCulm","1650"
1,"F0.5",400,"Carbig","Rhizome","1669"
1,"F0.5",400,"OtherGraminoid","BladeSheathInflCulm",NA
1,"F0.5",400,"OtherGraminoid","Rhizome",NA
1,"F0.5",400,"Betnan","NewLeaves","1627"
1,"F0.5",400,"Betnan","NewStems","1628"
1,"F0.5",400,"Betnan","OldStems","1629"
1,"F0.5",400,"Betnan","Inflor",NA
1,"F0.5",400,"Betnan","BelowStem","1630"
1,"F0.5",400,"Salpul","NewLeaves","1930"
1,"F0.5",400,"Salpul","NewStems","1931"
1,"F0.5",400,"Salpul","OldStems","1932"
1,"F0.5",400,"Salpul","Inflor",NA
1,"F0.5",400,"Salpul","BelowStem","1933"
1,"F0.5",400,"Vaculi","NewLeaves","1637"
1,"F0.5",400,"Vaculi","NewStems","1638"
1,"F0.5",400,"Vaculi","OldStems","1639"
1,"F0.5",400,"Vaculi","Inflor",NA
1,"F0.5",400,"Vaculi","BelowStem","1640"
1,"F0.5",400,"OtherDeciduous","NewLeaves",NA
1,"F0.5",400,"OtherDeciduous","NewStems",NA
1,"F0.5",400,"OtherDeciduous","OldStems",NA
1,"F0.5",400,"OtherDeciduous","Inflor",NA
1,"F0.5",400,"OtherDeciduous","BelowStem",NA
1,"F0.5",400,"Ledpal","NewLeaves","1631"
1,"F0.5",400,"Ledpal","NewStems","1632"
1,"F0.5",400,"Ledpal","OldLeaves","1633"
1,"F0.5",400,"Ledpal","OldStems","1634"
1,"F0.5",400,"Ledpal","Inflor","1635"
1,"F0.5",400,"Ledpal","BelowStem","1636"
1,"F0.5",400,"Vacvit","NewLeaves","1641"
1,"F0.5",400,"Vacvit","NewStems","1642"
1,"F0.5",400,"Vacvit","OldLeaves","1643"
1,"F0.5",400,"Vacvit","OldStems","1644"
1,"F0.5",400,"Vacvit","Inflor","1670"
1,"F0.5",400,"Vacvit","BelowStem","1645"
1,"F0.5",400,"Castet","NewStems",NA
1,"F0.5",400,"Castet","OldStems",NA
1,"F0.5",400,"Castet","Inflor",NA
1,"F0.5",400,"Castet","BelowStem",NA
1,"F0.5",400,"OtherEvergreen","NewLeaves","1652"
1,"F0.5",400,"OtherEvergreen","NewStems","1653"
1,"F0.5",400,"OtherEvergreen","OldLeaves","1654"
1,"F0.5",400,"OtherEvergreen","OldStems","1655"
1,"F0.5",400,"OtherEvergreen","Inflor",NA
1,"F0.5",400,"OtherEvergreen","BelowStem","1656"
1,"F0.5",400,"Rubcha","LeavesStems","1699"
1,"F0.5",400,"Rubcha","InflorStalks",NA
1,"F0.5",400,"Rubcha","BelowStem","1701"
1,"F0.5",400,"Petfri","LeavesStems",NA
1,"F0.5",400,"Petfri","InflorStalks",NA
1,"F0.5",400,"Petfri","BelowStem",NA
1,"F0.5",400,"OtherForb","LeavesStems","1704"
1,"F0.5",400,"OtherForb","InflorStalks","1705"
1,"F0.5",400,"OtherForb","BelowStem","1723"
1,"F0.5",400,"Sphagnum","Green","1707"
1,"F0.5",400,"OtherMoss","Green","1646"
1,"F0.5",400,"Lichen","Live","1647"
1,"F0.5",400,"Attached","Wood",NA
1,"F0.5",400,"Attached","Litter","1739"
1,"F0.5",400,"Loose","Litter",NA
1,"F1",400,"Erivag","BladeSheathInflCulm","233"
1,"F1",400,"Erivag","Rhizome","234"
1,"F1",400,"Carbig","BladeSheathInflCulm","308"
1,"F1",400,"Carbig","Rhizome","316"
1,"F1",400,"OtherGraminoid","BladeSheathInflCulm",NA
1,"F1",400,"OtherGraminoid","Rhizome",NA
1,"F1",400,"Betnan","NewLeaves","235"
1,"F1",400,"Betnan","NewStems","236"
1,"F1",400,"Betnan","OldStems","237"
1,"F1",400,"Betnan","Inflor","238"
1,"F1",400,"Betnan","BelowStem","239"
1,"F1",400,"Salpul","NewLeaves",NA
1,"F1",400,"Salpul","NewStems",NA
1,"F1",400,"Salpul","OldStems",NA
1,"F1",400,"Salpul","Inflor",NA
1,"F1",400,"Salpul","BelowStem",NA
1,"F1",400,"Vaculi","NewLeaves","317"
1,"F1",400,"Vaculi","NewStems","318"
1,"F1",400,"Vaculi","OldStems","319"
1,"F1",400,"Vaculi","Inflor",NA
1,"F1",400,"Vaculi","BelowStem","320"
1,"F1",400,"OtherDeciduous","NewLeaves",NA
1,"F1",400,"OtherDeciduous","NewStems",NA
1,"F1",400,"OtherDeciduous","OldStems",NA
1,"F1",400,"OtherDeciduous","Inflor",NA
1,"F1",400,"OtherDeciduous","BelowStem",NA
1,"F1",400,"Ledpal","NewLeaves","240"
1,"F1",400,"Ledpal","NewStems","301"
1,"F1",400,"Ledpal","OldLeaves","302"
1,"F1",400,"Ledpal","OldStems","303"
1,"F1",400,"Ledpal","Inflor","304"
1,"F1",400,"Ledpal","BelowStem","305"
1,"F1",400,"Vacvit","NewLeaves","310"
1,"F1",400,"Vacvit","NewStems","311"
1,"F1",400,"Vacvit","OldLeaves","312"
1,"F1",400,"Vacvit","OldStems","313"
1,"F1",400,"Vacvit","Inflor","314"
1,"F1",400,"Vacvit","BelowStem","315"
1,"F1",400,"Castet","NewStems","392"
1,"F1",400,"Castet","OldStems","393"
1,"F1",400,"Castet","Inflor",NA
1,"F1",400,"Castet","BelowStem","394"
1,"F1",400,"OtherEvergreen","NewLeaves",NA
1,"F1",400,"OtherEvergreen","NewStems",NA
1,"F1",400,"OtherEvergreen","OldLeaves",NA
1,"F1",400,"OtherEvergreen","OldStems",NA
1,"F1",400,"OtherEvergreen","Inflor",NA
1,"F1",400,"OtherEvergreen","BelowStem",NA
1,"F1",400,"Rubcha","LeavesStems","395"
1,"F1",400,"Rubcha","InflorStalks",NA
1,"F1",400,"Rubcha","BelowStem","321"
1,"F1",400,"Petfri","LeavesStems",NA
1,"F1",400,"Petfri","InflorStalks",NA
1,"F1",400,"Petfri","BelowStem",NA
1,"F1",400,"OtherForb","LeavesStems","306"
1,"F1",400,"OtherForb","InflorStalks",NA
1,"F1",400,"OtherForb","BelowStem",NA
1,"F1",400,"Sphagnum","Green",NA
1,"F1",400,"OtherMoss","Green","232"
1,"F1",400,"Lichen","Live","231"
1,"F1",400,"Attached","Wood",NA
1,"F1",400,"Attached","Litter","307"
1,"F1",400,"Loose","Litter","287"
1,"F2",400,"Erivag","BladeSheathInflCulm","88"
1,"F2",400,"Erivag","Rhizome","68"
1,"F2",400,"Carbig","BladeSheathInflCulm","86"
1,"F2",400,"Carbig","Rhizome","482"
1,"F2",400,"OtherGraminoid","BladeSheathInflCulm","483"
1,"F2",400,"OtherGraminoid","Rhizome","484"
1,"F2",400,"Betnan","NewLeaves","89"
1,"F2",400,"Betnan","NewStems","69"
1,"F2",400,"Betnan","OldStems","72"
1,"F2",400,"Betnan","Inflor","75"
1,"F2",400,"Betnan","BelowStem","415"
1,"F2",400,"Salpul","NewLeaves",NA
1,"F2",400,"Salpul","NewStems",NA
1,"F2",400,"Salpul","OldStems",NA
1,"F2",400,"Salpul","Inflor",NA
1,"F2",400,"Salpul","BelowStem",NA
1,"F2",400,"Vaculi","NewLeaves",NA
1,"F2",400,"Vaculi","NewStems",NA
1,"F2",400,"Vaculi","OldStems",NA
1,"F2",400,"Vaculi","Inflor",NA
1,"F2",400,"Vaculi","BelowStem",NA
1,"F2",400,"OtherDeciduous","NewLeaves",NA
1,"F2",400,"OtherDeciduous","NewStems",NA
1,"F2",400,"OtherDeciduous","OldStems",NA
1,"F2",400,"OtherDeciduous","Inflor",NA
1,"F2",400,"OtherDeciduous","BelowStem",NA
1,"F2",400,"Ledpal","NewLeaves","70"
1,"F2",400,"Ledpal","NewStems","73"
1,"F2",400,"Ledpal","OldLeaves","76"
1,"F2",400,"Ledpal","OldStems","79"
1,"F2",400,"Ledpal","Inflor","85"
1,"F2",400,"Ledpal","BelowStem","82"
1,"F2",400,"Vacvit","NewLeaves","78"
1,"F2",400,"Vacvit","NewStems","81"
1,"F2",400,"Vacvit","OldLeaves","84"
1,"F2",400,"Vacvit","OldStems","87"
1,"F2",400,"Vacvit","Inflor",NA
1,"F2",400,"Vacvit","BelowStem","495"
1,"F2",400,"Castet","NewStems",NA
1,"F2",400,"Castet","OldStems",NA
1,"F2",400,"Castet","Inflor",NA
1,"F2",400,"Castet","BelowStem",NA
1,"F2",400,"OtherEvergreen","NewLeaves",NA
1,"F2",400,"OtherEvergreen","NewStems",NA
1,"F2",400,"OtherEvergreen","OldLeaves",NA
1,"F2",400,"OtherEvergreen","OldStems",NA
1,"F2",400,"OtherEvergreen","Inflor",NA
1,"F2",400,"OtherEvergreen","BelowStem",NA
1,"F2",400,"Rubcha","LeavesStems","77"
1,"F2",400,"Rubcha","InflorStalks","80"
1,"F2",400,"Rubcha","BelowStem","83"
1,"F2",400,"Petfri","LeavesStems",NA
1,"F2",400,"Petfri","InflorStalks",NA
1,"F2",400,"Petfri","BelowStem",NA
1,"F2",400,"OtherForb","LeavesStems",NA
1,"F2",400,"OtherForb","InflorStalks",NA
1,"F2",400,"OtherForb","BelowStem",NA
1,"F2",400,"Sphagnum","Green","74"
1,"F2",400,"OtherMoss","Green","498"
1,"F2",400,"Lichen","Live","71"
1,"F2",400,"Attached","Wood",NA
1,"F2",400,"Attached","Litter","90"
1,"F2",400,"Loose","Litter",NA
1,"F5",400,"Erivag","BladeSheathInflCulm","93"
1,"F5",400,"Erivag","Rhizome",NA
1,"F5",400,"Carbig","BladeSheathInflCulm","337"
1,"F5",400,"Carbig","Rhizome","338"
1,"F5",400,"OtherGraminoid","BladeSheathInflCulm","119"
1,"F5",400,"OtherGraminoid","Rhizome","96"
1,"F5",400,"Betnan","NewLeaves","108"
1,"F5",400,"Betnan","NewStems","105"
1,"F5",400,"Betnan","OldStems","111"
1,"F5",400,"Betnan","Inflor","348"
1,"F5",400,"Betnan","BelowStem","114"
1,"F5",400,"Salpul","NewLeaves",NA
1,"F5",400,"Salpul","NewStems",NA
1,"F5",400,"Salpul","OldStems",NA
1,"F5",400,"Salpul","Inflor",NA
1,"F5",400,"Salpul","BelowStem",NA
1,"F5",400,"Vaculi","NewLeaves",NA
1,"F5",400,"Vaculi","NewStems",NA
1,"F5",400,"Vaculi","OldStems",NA
1,"F5",400,"Vaculi","Inflor",NA
1,"F5",400,"Vaculi","BelowStem",NA
1,"F5",400,"OtherDeciduous","NewLeaves","135"
1,"F5",400,"OtherDeciduous","NewStems","136"
1,"F5",400,"OtherDeciduous","OldStems",NA
1,"F5",400,"OtherDeciduous","Inflor",NA
1,"F5",400,"OtherDeciduous","BelowStem",NA
1,"F5",400,"Ledpal","NewLeaves","118"
1,"F5",400,"Ledpal","NewStems","115"
1,"F5",400,"Ledpal","OldLeaves","92"
1,"F5",400,"Ledpal","OldStems","95"
1,"F5",400,"Ledpal","Inflor","98"
1,"F5",400,"Ledpal","BelowStem","101"
1,"F5",400,"Vacvit","NewLeaves","104"
1,"F5",400,"Vacvit","NewStems","107"
1,"F5",400,"Vacvit","OldLeaves","110"
1,"F5",400,"Vacvit","OldStems","113"
1,"F5",400,"Vacvit","Inflor",NA
1,"F5",400,"Vacvit","BelowStem","116"
1,"F5",400,"Castet","NewStems",NA
1,"F5",400,"Castet","OldStems",NA
1,"F5",400,"Castet","Inflor",NA
1,"F5",400,"Castet","BelowStem",NA
1,"F5",400,"OtherEvergreen","NewLeaves",NA
1,"F5",400,"OtherEvergreen","NewStems",NA
1,"F5",400,"OtherEvergreen","OldLeaves",NA
1,"F5",400,"OtherEvergreen","OldStems",NA
1,"F5",400,"OtherEvergreen","Inflor",NA
1,"F5",400,"OtherEvergreen","BelowStem",NA
1,"F5",400,"Rubcha","LeavesStems","109"
1,"F5",400,"Rubcha","InflorStalks",NA
1,"F5",400,"Rubcha","BelowStem","112"
1,"F5",400,"Petfri","LeavesStems",NA
1,"F5",400,"Petfri","InflorStalks",NA
1,"F5",400,"Petfri","BelowStem",NA
1,"F5",400,"OtherForb","LeavesStems",NA
1,"F5",400,"OtherForb","InflorStalks",NA
1,"F5",400,"OtherForb","BelowStem",NA
1,"F5",400,"Sphagnum","Green",NA
1,"F5",400,"OtherMoss","Green","102"
1,"F5",400,"Lichen","Live","339"
1,"F5",400,"Attached","Wood","349"
1,"F5",400,"Attached","Litter","99"
1,"F5",400,"Loose","Litter",NA
1,"F10",400,"Erivag","BladeSheathInflCulm","31"
1,"F10",400,"Erivag","Rhizome","45"
1,"F10",400,"Carbig","BladeSheathInflCulm",NA
1,"F10",400,"Carbig","Rhizome",NA
1,"F10",400,"OtherGraminoid","BladeSheathInflCulm","32"
1,"F10",400,"OtherGraminoid","Rhizome","46"
1,"F10",400,"Betnan","NewLeaves","33"
1,"F10",400,"Betnan","NewStems","34"
1,"F10",400,"Betnan","OldStems","35"
1,"F10",400,"Betnan","Inflor","9"
1,"F10",400,"Betnan","BelowStem","36"
1,"F10",400,"Salpul","NewLeaves",NA
1,"F10",400,"Salpul","NewStems",NA
1,"F10",400,"Salpul","OldStems",NA
1,"F10",400,"Salpul","Inflor",NA
1,"F10",400,"Salpul","BelowStem",NA
1,"F10",400,"Vaculi","NewLeaves",NA
1,"F10",400,"Vaculi","NewStems",NA
1,"F10",400,"Vaculi","OldStems",NA
1,"F10",400,"Vaculi","Inflor",NA
1,"F10",400,"Vaculi","BelowStem",NA
1,"F10",400,"OtherDeciduous","NewLeaves",NA
1,"F10",400,"OtherDeciduous","NewStems",NA
1,"F10",400,"OtherDeciduous","OldStems",NA
1,"F10",400,"OtherDeciduous","Inflor",NA
1,"F10",400,"OtherDeciduous","BelowStem",NA
1,"F10",400,"Ledpal","NewLeaves","37"
1,"F10",400,"Ledpal","NewStems","38"
1,"F10",400,"Ledpal","OldLeaves","160"
1,"F10",400,"Ledpal","OldStems","39"
1,"F10",400,"Ledpal","Inflor","162"
1,"F10",400,"Ledpal","BelowStem","16"
1,"F10",400,"Vacvit","NewLeaves",NA
1,"F10",400,"Vacvit","NewStems",NA
1,"F10",400,"Vacvit","OldLeaves",NA
1,"F10",400,"Vacvit","OldStems",NA
1,"F10",400,"Vacvit","Inflor",NA
1,"F10",400,"Vacvit","BelowStem",NA
1,"F10",400,"Castet","NewStems",NA
1,"F10",400,"Castet","OldStems",NA
1,"F10",400,"Castet","Inflor",NA
1,"F10",400,"Castet","BelowStem",NA
1,"F10",400,"OtherEvergreen","NewLeaves",NA
1,"F10",400,"OtherEvergreen","NewStems",NA
1,"F10",400,"OtherEvergreen","OldLeaves",NA
1,"F10",400,"OtherEvergreen","OldStems",NA
1,"F10",400,"OtherEvergreen","Inflor",NA
1,"F10",400,"OtherEvergreen","BelowStem",NA
1,"F10",400,"Rubcha","LeavesStems","40"
1,"F10",400,"Rubcha","InflorStalks","12"
1,"F10",400,"Rubcha","BelowStem","41"
1,"F10",400,"Petfri","LeavesStems",NA
1,"F10",400,"Petfri","InflorStalks",NA
1,"F10",400,"Petfri","BelowStem",NA
1,"F10",400,"OtherForb","LeavesStems",NA
1,"F10",400,"OtherForb","InflorStalks",NA
1,"F10",400,"OtherForb","BelowStem",NA
1,"F10",400,"Sphagnum","Green",NA
1,"F10",400,"OtherMoss","Green",NA
1,"F10",400,"Lichen","Live",NA
1,"F10",400,"Attached","Wood","42"
