"Block","Treatment","Quad","Surface_area_cm2","Species","Tissue","Mass_g"
1,"CT",1,400,"Erivag","BladeSheathInflCulm",0.545
1,"CT",1,400,"Erivag","Rhizome",0.043
1,"CT",1,400,"Carbig","BladeSheathInflCulm",0.006
1,"CT",1,400,"Carbig","Rhizome",0
1,"CT",1,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"CT",1,400,"OtherGraminoid","Rhizome",0
1,"CT",1,400,"Betnan","NewLeaves",0
1,"CT",1,400,"Betnan","NewStems",0
1,"CT",1,400,"Betnan","OldStems",0
1,"CT",1,400,"Betnan","Inflor",0
1,"CT",1,400,"Betnan","BelowStem",0
1,"CT",1,400,"Salpul","NewLeaves",0
1,"CT",1,400,"Salpul","NewStems",0
1,"CT",1,400,"Salpul","OldStems",0
1,"CT",1,400,"Salpul","Inflor",0
1,"CT",1,400,"Salpul","BelowStem",0
1,"CT",1,400,"Vaculi","NewLeaves",0
1,"CT",1,400,"Vaculi","NewStems",0
1,"CT",1,400,"Vaculi","OldStems",0
1,"CT",1,400,"Vaculi","Inflor",0
1,"CT",1,400,"Vaculi","BelowStem",0
1,"CT",1,400,"OtherDeciduous","NewLeaves",0
1,"CT",1,400,"OtherDeciduous","NewStems",0
1,"CT",1,400,"OtherDeciduous","OldStems",0
1,"CT",1,400,"OtherDeciduous","Inflor",0
1,"CT",1,400,"OtherDeciduous","BelowStem",0
1,"CT",1,400,"Ledpal","NewLeaves",0.495
1,"CT",1,400,"Ledpal","NewStems",0.259
1,"CT",1,400,"Ledpal","OldLeaves",0.058
1,"CT",1,400,"Ledpal","OldStems",0.861
1,"CT",1,400,"Ledpal","Inflor",0
1,"CT",1,400,"Ledpal","BelowStem",0
1,"CT",1,400,"Vacvit","NewLeaves",0.143
1,"CT",1,400,"Vacvit","NewStems",0.051
1,"CT",1,400,"Vacvit","OldLeaves",0
1,"CT",1,400,"Vacvit","OldStems",0.024
1,"CT",1,400,"Vacvit","Inflor",0.026
1,"CT",1,400,"Vacvit","BelowStem",0.067
1,"CT",1,400,"Castet","NewStems",0
1,"CT",1,400,"Castet","OldStems",0
1,"CT",1,400,"Castet","Inflor",0
1,"CT",1,400,"Castet","BelowStem",0
1,"CT",1,400,"OtherEvergreen","NewLeaves",0.136
1,"CT",1,400,"OtherEvergreen","NewStems",0.031
1,"CT",1,400,"OtherEvergreen","OldLeaves",0.068
1,"CT",1,400,"OtherEvergreen","OldStems",0.093
1,"CT",1,400,"OtherEvergreen","Inflor",0
1,"CT",1,400,"OtherEvergreen","BelowStem",0
1,"CT",1,400,"Rubcha","LeavesStems",0.53
1,"CT",1,400,"Rubcha","InflorStalks",0
1,"CT",1,400,"Rubcha","BelowStem",0.772
1,"CT",1,400,"Petfri","LeavesStems",0
1,"CT",1,400,"Petfri","InflorStalks",0
1,"CT",1,400,"Petfri","BelowStem",0
1,"CT",1,400,"OtherForb","LeavesStems",0
1,"CT",1,400,"OtherForb","InflorStalks",0
1,"CT",1,400,"OtherForb","BelowStem",0
1,"CT",1,400,"Sphagnum","Green",0.118
1,"CT",1,400,"OtherMoss","Green",43.277
1,"CT",1,400,"Lichen","Live",0.077
1,"CT",1,400,"Attached","Wood",0
1,"CT",1,400,"Attached","Litter",0.367
1,"CT",1,400,"Loose","Litter",7.663
1,"CT",2,400,"Erivag","BladeSheathInflCulm",0.593
1,"CT",2,400,"Erivag","Rhizome",0.071
1,"CT",2,400,"Carbig","BladeSheathInflCulm",0
1,"CT",2,400,"Carbig","Rhizome",0
1,"CT",2,400,"OtherGraminoid","BladeSheathInflCulm",0
1,"CT",2,400,"OtherGraminoid","Rhizome",0
1,"CT",2,400,"Betnan","NewLeaves",0.532
1,"CT",2,400,"Betnan","NewStems",0.028
1,"CT",2,400,"Betnan","OldStems",0.737
1,"CT",2,400,"Betnan","Inflor",0.053
1,"CT",2,400,"Betnan","BelowStem",7.753
1,"CT",2,400,"Salpul","NewLeaves",0
1,"CT",2,400,"Salpul","NewStems",0
1,"CT",2,400,"Salpul","OldStems",0
1,"CT",2,400,"Salpul","Inflor",0
1,"CT",2,400,"Salpul","BelowStem",0
1,"CT",2,400,"Vaculi","NewLeaves",0
1,"CT",2,400,"Vaculi","NewStems",0
1,"CT",2,400,"Vaculi","OldStems",0
