"Block","Treatment","Date_collected","Species","Tissue","Plot_tissue_ID","Nitrogen_percent","Carbon_percent","Growth_form","Notes"
1,"F1",2024-07-25,"Betnan","NewStems","236",1.78133177757263,54.9655838012695,"Deciduous",NA
1,"F1",2024-07-25,"Vacvit","NewLeaves","310",1.40160632133484,52.9956665039062,"Evergreen",NA
1,"F1",2024-07-25,"OtherMoss","Green","232",1.37621569633484,48.5056762695312,"Moss",NA
1,"F1",2024-07-25,"Vacvit","BelowStem","315",1.08083820343018,53.628849029541,"Evergreen",NA
1,"F1",2024-07-25,"Ledpal","BelowStem","305",0.749906122684479,59.0938568115234,"Evergreen",NA
1,"F1",2024-07-25,"Betnan","NewLeaves","235",2.0358772277832,52.8916091918945,"Deciduous",NA
1,"F1",2024-07-25,"Vacvit","Inflor","314",0.962691247463226,53.1415634155273,"Evergreen",NA
1,"F1",2024-07-25,"Vacvit","OldStems","313",0.982878565788269,54.0674629211426,"Evergreen",NA
1,"F1",2024-07-25,"Rubcha","BelowStem","321",0.849592328071594,51.2238540649414,"Forb",NA
1,"F1",2024-07-25,"Ledpal","Inflor","304",1.7019567489624,53.8217468261719,"Evergreen",NA
1,"F1",2024-07-25,"Ledpal","Inflor","304",1.66307938098907,53.691349029541,"Evergreen",NA
1,"F1",2024-07-25,"Vacvit","OldLeaves","312",1.03812718391418,54.4153518676758,"Evergreen",NA
1,"F1",2024-07-25,"Rubcha","LeavesStems","395",2.18873381614685,50.8035316467285,"Forb",NA
1,"F1",2024-07-25,"Vaculi","BelowStem","320",0.594020843505859,54.0390777587891,"Deciduous",NA
1,"F1",2024-07-25,"Castet","BelowStem","394",0.941909670829773,57.5672225952148,"Evergreen",NA
1,"F1",2024-07-25,"Lichen","Live","231",0.914544999599457,47.5662040710449,"Lichen",NA
1,"F1",2024-07-25,"Castet","OldStems","393",1.13092494010925,59.1272773742676,"Evergreen",NA
1,"F1",2024-07-25,"Vacvit","NewStems","311",1.32852041721344,54.8926200866699,"Evergreen",NA
1,"F1",2024-07-25,"Ledpal","NewStems","301",1.45908176898956,55.8852043151855,"Evergreen",NA
1,"F1",2024-07-25,"Ledpal","OldLeaves","302",1.71575367450714,57.582706451416,"Evergreen",NA
1,"F1",2024-07-25,"Vaculi","NewLeaves","317",1.55414986610413,53.9367141723633,"Deciduous",NA
1,"F1",2024-07-25,"Vaculi","NewLeaves","317",1.36726868152618,52.9264106750488,"Deciduous",NA
1,"F1",2024-07-25,"Betnan","BelowStem","239",0.831188797950745,55.8429069519043,"Deciduous",NA
1,"F1",2024-07-25,"Ledpal","NewLeaves","240",1.89313876628876,54.5762481689453,"Evergreen",NA
1,"F1",2024-07-25,"Erivag","Rhizome","234",NA,NA,"Graminoid",NA
1,"F1",2024-07-25,"Castet","NewStems","392",NA,NA,"Evergreen",NA
1,"F1",2024-07-25,"Erivag","BladeSheathInflCulm","233",NA,NA,"Graminoid",NA
1,"F1",2024-07-25,"Betnan","OldStems","237",0.624212205410004,55.7473602294922,"Deciduous",NA
1,"F1",2024-07-25,"Carbig","BladeSheathInflCulm","308",1.9615330696106,50.7164344787598,"Graminoid",NA
1,"F1",2024-07-25,"OtherForb","LeavesStems","306",2.36505961418152,49.7127075195312,"Forb",NA
1,"F1",2024-07-25,"Betnan","Inflor","238",1.12386763095856,55.9574584960938,"Deciduous",NA
1,"F1",2024-07-25,"Carbig","Rhizome","316",1.00892233848572,52.6301498413086,"Graminoid",NA
1,"F1",2024-07-25,"Carbig","Rhizome","316",0.980866253376007,52.0934906005859,"Graminoid",NA
1,"F5",2024-07-25,"Rubcha","LeavesStems","109",2.51995706558228,46.1323738098145,"Forb",NA
1,"F5",2024-07-25,"Vacvit","BelowStem","116",1.18512201309204,51.1078567504883,"Evergreen",NA
1,"F5",2024-07-25,"Ledpal","OldStems","95",0.878164947032928,54.8503341674805,"Evergreen",NA
1,"F5",2024-07-25,"OtherMoss","Green","102",1.72003710269928,45.9254837036133,"Moss",NA
1,"F5",2024-07-25,"Ledpal","BelowStem","101",0.885150551795959,54.4275093078613,"Evergreen",NA
1,"F5",2024-07-25,"Ledpal","NewLeaves","118",3.15176892280579,51.4311408996582,"Evergreen",NA
1,"F5",2024-07-25,"Ledpal","Inflor","98",1.79750227928162,50.2194023132324,"Evergreen",NA
1,"F5",2024-07-25,"Betnan","NewLeaves","108",2.95845437049866,49.8424873352051,"Deciduous",NA
1,"F5",2024-07-25,"Vacvit","OldLeaves","110",1.67893707752228,49.7313194274902,"Evergreen",NA
