"Block","Treatment","Quad","Surface_area_cm2","Date_collected","Species","Tissue","Mass_g","Plot_tissue_ID","Growth_form","Notes"
1,"CT",1,400,2024-07-24,"Erivag","BladeSheathInflCulm",0.545,"264","Graminoid",NA
1,"CT",1,400,2024-07-24,"Erivag","Rhizome",0.043,"268","Graminoid",NA
1,"CT",1,400,2024-07-24,"Carbig","BladeSheathInflCulm",0.006,"285","Graminoid",NA
1,"CT",1,400,2024-07-24,"Carbig","Rhizome",0,NA,"Graminoid",NA
1,"CT",1,400,2024-07-24,"OtherGraminoid","BladeSheathInflCulm",0,NA,"Graminoid",NA
1,"CT",1,400,2024-07-24,"OtherGraminoid","Rhizome",0,NA,"Graminoid",NA
1,"CT",1,400,2024-07-24,"Betnan","NewLeaves",0,"17","Deciduous",NA
1,"CT",1,400,2024-07-24,"Betnan","NewStems",0,"18","Deciduous",NA
1,"CT",1,400,2024-07-24,"Betnan","OldStems",0,"19","Deciduous",NA
1,"CT",1,400,2024-07-24,"Betnan","Inflor",0,"20","Deciduous",NA
1,"CT",1,400,2024-07-24,"Betnan","BelowStem",0,"230","Deciduous",NA
1,"CT",1,400,2024-07-24,"Salpul","NewLeaves",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Salpul","NewStems",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Salpul","OldStems",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Salpul","Inflor",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Salpul","BelowStem",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Vaculi","NewLeaves",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Vaculi","NewStems",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Vaculi","OldStems",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Vaculi","Inflor",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Vaculi","BelowStem",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"OtherDeciduous","NewLeaves",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"OtherDeciduous","NewStems",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"OtherDeciduous","OldStems",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"OtherDeciduous","Inflor",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"OtherDeciduous","BelowStem",0,NA,"Deciduous",NA
1,"CT",1,400,2024-07-24,"Ledpal","NewLeaves",0.495,"281","Evergreen",NA
