"Block","Treatment","Quad","Horizon","Core_surface_area_cm2","Depth_cm","Root_notes","Core_volume_cm3","Root_type","Mass_g"
1,"CT",1,"O",25,4.5,NA,112.5,"Fine",0.049
1,"CT",1,"O",25,4.5,NA,112.5,"Coarse",0
1,"CT",1,"O",25,4.5,NA,112.5,"Erivag",0.65
1,"CT",1,"M",15.9043128087983,18,NA,286.27763055837,"Fine",0.22
1,"CT",1,"M",15.9043128087983,18,NA,286.27763055837,"Coarse",0
1,"CT",1,"M",15.9043128087983,18,NA,286.27763055837,"Erivag",0.183
1,"CT",2,"O",25,13,NA,325,"Fine",1.554
1,"CT",2,"O",25,13,NA,325,"Coarse",0
1,"CT",2,"O",25,13,NA,325,"Erivag",0
1,"CT",2,"M",15.9043128087983,10.5,NA,166.995284492382,"Fine",0.306
1,"CT",2,"M",15.9043128087983,10.5,NA,166.995284492382,"Coarse",0
1,"CT",2,"M",15.9043128087983,10.5,NA,166.995284492382,"Erivag",0
1,"CT",3,"O",25,23,NA,575,"Fine",3.771
1,"CT",3,"O",25,23,NA,575,"Coarse",0
1,"CT",3,"O",25,23,NA,575,"Erivag",0
1,"CT",3,"M",15.9043128087983,NA,"NA depth means permafrost was in organic layer",NA,"Fine",NA
1,"CT",3,"M",15.9043128087983,NA,"NA depth means permafrost was in organic layer",NA,"Coarse",NA
1,"CT",3,"M",15.9043128087983,NA,"NA depth means permafrost was in organic layer",NA,"Erivag",NA
1,"CT",4,"O",25,13,NA,325,"Fine",1.916
1,"CT",4,"O",25,13,NA,325,"Coarse",0
1,"CT",4,"O",25,13,NA,325,"Erivag",0
1,"CT",4,"M",15.9043128087983,10,NA,159.043128087983,"Fine",0.037
1,"CT",4,"M",15.9043128087983,10,NA,159.043128087983,"Coarse",0
1,"CT",4,"M",15.9043128087983,10,NA,159.043128087983,"Erivag",0.002
1,"F0.5",1,"O",25,12.5,NA,312.5,"Fine",1.178
1,"F0.5",1,"O",25,12.5,NA,312.5,"Coarse",0
1,"F0.5",1,"O",25,12.5,NA,312.5,"Erivag",0
1,"F0.5",1,"M",22.9022104446696,18,NA,412.239788004053,"Fine",0.107
1,"F0.5",1,"M",22.9022104446696,18,NA,412.239788004053,"Coarse",0
1,"F0.5",1,"M",22.9022104446696,18,NA,412.239788004053,"Erivag",0.96
1,"F0.5",2,"O",25,15,"First with new corer diameter; this corer diameter for every subsequent one",375,"Fine",2.463
1,"F0.5",2,"O",25,15,"First with new corer diameter; this corer diameter for every subsequent one",375,"Coarse",0
1,"F0.5",2,"O",25,15,"First with new corer diameter; this corer diameter for every subsequent one",375,"Erivag",0
1,"F0.5",2,"M",22.9022104446696,10.5,"Bag number is not a mistake. 55 and 58 should be in this order",240.473209669031,"Fine",0.333
1,"F0.5",2,"M",22.9022104446696,10.5,"Bag number is not a mistake. 55 and 58 should be in this order",240.473209669031,"Coarse",0
1,"F0.5",2,"M",22.9022104446696,10.5,"Bag number is not a mistake. 55 and 58 should be in this order",240.473209669031,"Erivag",0
1,"F0.5",3,"O",25,4,NA,100,"Fine",0.483
1,"F0.5",3,"O",25,4,NA,100,"Coarse",0
