"Block","Treatment","Quad","Core_surface_area_cm2","Organic_core_depth_cm","Mineral_core_depth_cm","Depth_from_mineral_to_permafrost_cm","Depth_of_core_to_permafrost_cm","Ice_depth_accidentally_cored_cm","Date_collected","Dry_mass_aboveground_g","Dry_mass_organic_horizon_g","Dry_mass_mineral_horizon_g","Soil_notes"
1,"CT","1",22.0618344098343,1,"48",0,49,"NA",2024-07-30,"0.28499999999999998","NA","1093.7909999999999",NA
1,"CT","2",22.0618344098343,12,"24",0,36,"NA",2024-07-30,"0.30099999999999999","14.411","623.66600000000005",NA
1,"CT","3",22.0618344098343,10,"17",0,27,"NA",2024-07-30,"0.50800000000000001","9.1340000000000003","187.56899999999999",NA
1,"CT","4",22.0618344098343,21,"17",0,38,"NA",2024-07-30,"0.53","11.1",NA,NA
1,"F0.5","1",16.61902513749,7,"37",4,48,"NA",2024-07-30,"0.96699999999999997","14.801","360.87700000000001",NA
1,"F0.5","2",16.61902513749,5,"23",0,28,"NA",2024-07-30,"0.93400000000000005","8.1340000000000003","235.79599999999999",NA
1,"F0.5","3",16.61902513749,7,"37",0,44,"NA",2024-07-30,"0.222","12.25","14.454000000000001",NA
1,"F0.5","4",16.61902513749,9,"20",29,58,"NA",2024-08-01,"0.43099999999999999","7.8920000000000003","497.09899999999999",NA
1,"F1","1",16.61902513749,16.5,"NA",2,18.5,"NA",2024-07-30,"7.0000000000000007E-2","11.205","NA","No mineral sample. Approximately 2 cm from permafrost"
1,"F1","2",16.61902513749,7,"33",0,40,"NA",2024-07-30,"0.70599999999999996","8.3580000000000005","378.82",NA
1,"F1","3A",16.61902513749,4.5,"20",0,24.5,"NA",2024-07-30,"0.69199999999999995","15.590999999999999","267.55200000000002",NA
1,"F1","4",22.0618344098343,5,"42",0,47,"NA",2024-07-30,"0.45500000000000002","14.461","667.774",NA
1,"F2","1",22.0618344098343,14,"27",0,41,"NA",2024-07-30,"0.83899999999999997","16.172999999999998","246.149",NA
1,"F2","2",22.0618344098343,18,"14",0,32,"NA",2024-07-30,"0.251","11.035","66.468000000000004",NA
1,"F2","3A",16.61902513749,9,"26",0,35,"NA",2024-07-30,"0.47899999999999998","9.5760000000000005","289.22699999999998",NA
1,"F2","4",16.61902513749,18,"14",0,32,"NA",2024-07-30,"0.32500000000000001","16.812999999999999","158.61199999999999",NA
1,"F5","1",16.61902513749,4,"36",0,40,"NA",2024-07-30,"0.246","17.023","104.51600000000001",NA
1,"F5","2",16.61902513749,10,"27",0,37,"NA",2024-07-30,"0.47","13.738","323.71100000000001",NA
1,"F5","3",16.61902513749,9,"24",0,33,"NA",2024-07-30,"0.01","45.895000000000003","302.13600000000002",NA
1,"F5","4",16.61902513749,7,"36",0,43,"NA",2024-07-30,"0.47799999999999998","24.718","NA",NA
1,"F10","1A",16.61902513749,9,"23",0,32,"NA",2024-07-30,"1.58",NA,"83.204999999999998",NA
1,"F10","2",16.61902513749,12,"18",0,30,"NA",2024-07-30,"1.4999999999999999E-2","37.003","54.924999999999997",NA
1,"F10","3",16.61902513749,19,"26",0,45,"NA",2024-07-30,"8.3000000000000004E-2","27.81","0.24199999999999999",NA
1,"F10","4",16.61902513749,8,"26",0,34,"NA",2024-07-30,"2.3E-2","18.387","312.27100000000002",NA
2,"CT","1",16.61902513749,0,"43.5",12.5,56,"NA",2024-07-30,"0.23699999999999999","NA","770.34400000000005",NA
2,"CT","2",16.61902513749,0.5,"52",0,52.5,"NA",2024-07-30,"0.38300000000000001","4.9340000000000002","632.47299999999996",NA
2,"CT","3",16.61902513749,14,"24",0,38,"NA",2024-07-30,NA,"7.242","29.558",NA
2,"CT","4A",16.61902513749,15,"32",0,47,"NA",2024-07-30,"0.50800000000000001","12.222","131.41999999999999",NA
2,"F0.5","1",16.61902513749,10,"26",0,36,"NA",2024-07-30,"0.42799999999999999","14.303000000000001","129.20500000000001",NA
2,"F0.5","2B",16.61902513749,19,"25",0,44,"NA",2024-08-01,"0.217","32.789000000000001","201.49299999999999","This was a redo of 2A, which had a lot of sludge"
2,"F0.5","3",16.61902513749,12.5,"29",0,41.5,"NA",2024-07-30,"0.377","13.667","247.613",NA
