"Block","Treatment","Surface_area_cm2","Species","Tissue","ID","Total_mass_g","Growth_form"
1,"CT",400,"Erivag","BladeSheathInflCulm","264",2.719,"Graminoid"
1,"CT",400,"Erivag","Rhizome","268",1.714,"Graminoid"
1,"CT",400,"Carbig","BladeSheathInflCulm","285",1.086,"Graminoid"
1,"CT",400,"Carbig","Rhizome","258",5.819,"Graminoid"
1,"CT",400,"OtherGraminoid","BladeSheathInflCulm","204",0.044,"Graminoid"
1,"CT",400,"OtherGraminoid","Rhizome","205",0.066,"Graminoid"
1,"CT",400,"Betnan","NewLeaves","17",3.013,"Deciduous"
1,"CT",400,"Betnan","NewStems","18",1.771,"Deciduous"
1,"CT",400,"Betnan","OldStems","19",4.555,"Deciduous"
1,"CT",400,"Betnan","Inflor","20",0.053,"Deciduous"
1,"CT",400,"Betnan","BelowStem","230",35.022,"Deciduous"
1,"CT",400,"Salpul","NewLeaves",NA,0,"Deciduous"
1,"CT",400,"Salpul","NewStems",NA,0,"Deciduous"
1,"CT",400,"Salpul","OldStems",NA,0,"Deciduous"
1,"CT",400,"Salpul","Inflor",NA,0,"Deciduous"
1,"CT",400,"Salpul","BelowStem",NA,0,"Deciduous"
1,"CT",400,"Vaculi","NewLeaves",NA,0,"Deciduous"
1,"CT",400,"Vaculi","NewStems",NA,0,"Deciduous"
1,"CT",400,"Vaculi","OldStems",NA,0,"Deciduous"
1,"CT",400,"Vaculi","Inflor",NA,0,"Deciduous"
1,"CT",400,"Vaculi","BelowStem",NA,0,"Deciduous"
1,"CT",400,"OtherDeciduous","NewLeaves",NA,0,"Deciduous"
1,"CT",400,"OtherDeciduous","NewStems",NA,0,"Deciduous"
1,"CT",400,"OtherDeciduous","OldStems",NA,0,"Deciduous"
1,"CT",400,"OtherDeciduous","Inflor",NA,0,"Deciduous"
1,"CT",400,"OtherDeciduous","BelowStem",NA,0,"Deciduous"
1,"CT",400,"Ledpal","NewLeaves","281",2.943,"Evergreen"
1,"CT",400,"Ledpal","NewStems","282",0.879,"Evergreen"
1,"CT",400,"Ledpal","OldLeaves","283",2.244,"Evergreen"
1,"CT",400,"Ledpal","OldStems","284",7.445,"Evergreen"
1,"CT",400,"Ledpal","Inflor","212",0.194,"Evergreen"
1,"CT",400,"Ledpal","BelowStem","213",32.341,"Evergreen"
1,"CT",400,"Vacvit","NewLeaves","277",5.53,"Evergreen"
1,"CT",400,"Vacvit","NewStems","278",1.181,"Evergreen"
1,"CT",400,"Vacvit","OldLeaves","222",5.213,"Evergreen"
1,"CT",400,"Vacvit","OldStems","279",2.792,"Evergreen"
1,"CT",400,"Vacvit","Inflor","276",0.081,"Evergreen"
1,"CT",400,"Vacvit","BelowStem","280",7.825,"Evergreen"
1,"CT",400,"Castet","NewStems",NA,0,"Evergreen"
1,"CT",400,"Castet","OldStems",NA,0,"Evergreen"
1,"CT",400,"Castet","Inflor",NA,0,"Evergreen"
1,"CT",400,"Castet","BelowStem",NA,0,"Evergreen"
1,"CT",400,"OtherEvergreen","NewLeaves","261",0.259,"Evergreen"
1,"CT",400,"OtherEvergreen","NewStems","265",0.056,"Evergreen"
1,"CT",400,"OtherEvergreen","OldLeaves","266",0.241,"Evergreen"
1,"CT",400,"OtherEvergreen","OldStems","267",0.204,"Evergreen"
1,"CT",400,"OtherEvergreen","Inflor","25",0.016,"Evergreen"
1,"CT",400,"OtherEvergreen","BelowStem","26",0.509,"Evergreen"
1,"CT",400,"Rubcha","LeavesStems","274",1.866,"Forb"
1,"CT",400,"Rubcha","InflorStalks",NA,0,"Forb"
1,"CT",400,"Rubcha","BelowStem","275",7.97,"Forb"
1,"CT",400,"Petfri","LeavesStems",NA,0,"Forb"
1,"CT",400,"Petfri","InflorStalks",NA,0,"Forb"
1,"CT",400,"Petfri","BelowStem",NA,0,"Forb"
1,"CT",400,"OtherForb","LeavesStems","229",0.5,"Forb"
1,"CT",400,"OtherForb","InflorStalks",NA,0,"Forb"
1,"CT",400,"OtherForb","BelowStem","59",1.534,"Forb"
1,"CT",400,"Sphagnum","Green","273",4.665,"Moss"
1,"CT",400,"OtherMoss","Green","269",67.667,"Moss"
1,"CT",400,"Lichen","Live","270",12.426,"Lichen"
1,"CT",400,"Attached","Wood","226",0.385,"Litter"
1,"CT",400,"Attached","Litter","272",9.614,"Litter"
1,"F0.5",400,"Erivag","BladeSheathInflCulm","1648",8.326,"Graminoid"
1,"F0.5",400,"Erivag","Rhizome","1649",5.801,"Graminoid"
1,"F0.5",400,"Carbig","BladeSheathInflCulm","1650",1.265,"Graminoid"
1,"F0.5",400,"Carbig","Rhizome","1669",9.043,"Graminoid"
1,"F0.5",400,"OtherGraminoid","BladeSheathInflCulm",NA,0,"Graminoid"
1,"F0.5",400,"OtherGraminoid","Rhizome",NA,0,"Graminoid"
1,"F0.5",400,"Betnan","NewLeaves","1627",7.115,"Deciduous"
1,"F0.5",400,"Betnan","NewStems","1628",0.562,"Deciduous"
1,"F0.5",400,"Betnan","OldStems","1629",22.611,"Deciduous"
1,"F0.5",400,"Betnan","Inflor",NA,0,"Deciduous"
1,"F0.5",400,"Betnan","BelowStem","1630",29.476,"Deciduous"
1,"F0.5",400,"Salpul","NewLeaves","1930",0.499,"Deciduous"
1,"F0.5",400,"Salpul","NewStems","1931",0.084,"Deciduous"
1,"F0.5",400,"Salpul","OldStems","1932",1.125,"Deciduous"
1,"F0.5",400,"Salpul","Inflor",NA,0,"Deciduous"
1,"F0.5",400,"Salpul","BelowStem","1933",5,"Deciduous"
1,"F0.5",400,"Vaculi","NewLeaves","1637",0.396,"Deciduous"
1,"F0.5",400,"Vaculi","NewStems","1638",0.121,"Deciduous"
1,"F0.5",400,"Vaculi","OldStems","1639",2.673,"Deciduous"
1,"F0.5",400,"Vaculi","Inflor",NA,0,"Deciduous"
1,"F0.5",400,"Vaculi","BelowStem","1640",1.293,"Deciduous"
1,"F0.5",400,"OtherDeciduous","NewLeaves",NA,0,"Deciduous"
1,"F0.5",400,"OtherDeciduous","NewStems",NA,0,"Deciduous"
1,"F0.5",400,"OtherDeciduous","OldStems",NA,0,"Deciduous"
1,"F0.5",400,"OtherDeciduous","Inflor",NA,0,"Deciduous"
1,"F0.5",400,"OtherDeciduous","BelowStem",NA,0,"Deciduous"
1,"F0.5",400,"Ledpal","NewLeaves","1631",4.304,"Evergreen"
1,"F0.5",400,"Ledpal","NewStems","1632",0.974,"Evergreen"
1,"F0.5",400,"Ledpal","OldLeaves","1633",2.037,"Evergreen"
